                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6444,                 5.9351,                 1.9092,                0.79583,                0.19438,                0.19897,                0.16343,                 0.6451,                 3.3209,                 1.1165,                  2e-05,                  2e-05,                  2e-05
                      2,                 1.8153,                 5.9303,                 1.9811,                0.79779,                0.20307,                0.19129,                0.14567,                0.65071,                 3.3108,                 1.1148,              4.802e-05,              4.802e-05,              4.802e-05
                      3,                  1.771,                 4.8109,                 1.9512,                0.87368,                0.29167,                0.29106,                0.25223,                0.57724,                 3.9985,                   1.02,             7.3664e-05,             7.3664e-05,             7.3664e-05
                      4,                 1.4882,                 2.9816,                 1.7409,                0.70771,                0.49298,                0.60206,                0.45147,                0.73776,                 10.588,                 1.1029,             9.6932e-05,             9.6932e-05,             9.6932e-05
                      5,                 1.4096,                 2.2388,                 1.6567,                0.84259,                0.48912,                0.66937,                0.45372,                 1.0884,                 9.7167,                 1.2283,             0.00011782,             0.00011782,             0.00011782
                      6,                 1.3466,                  1.929,                 1.5687,                0.52288,                0.58333,                0.77765,                0.51098,                  1.236,                  7.257,                 1.3249,             0.00013634,             0.00013634,             0.00013634
                      7,                 1.3516,                 1.7919,                 1.4418,                0.35344,                0.91667,                0.66005,                0.45851,                 1.1489,                 3.7269,                 1.3104,             0.00015248,             0.00015248,             0.00015248
                      8,                 1.2625,                 1.5548,                 1.4129,                0.40057,                0.60503,                 0.5082,                0.35754,                 1.0235,                   2.96,                 1.2688,             0.00016624,             0.00016624,             0.00016624
                      9,                 1.1515,                 1.4164,                 1.3218,                 0.6862,                0.84498,                0.81444,                0.67208,                0.69129,                 2.0838,                 1.0931,             0.00017763,             0.00017763,             0.00017763
                     10,                 1.0519,                 1.3508,                 1.3093,                0.78036,                0.81944,                0.81541,                0.69822,                0.59447,                 1.8392,                 0.9754,             0.00018664,             0.00018664,             0.00018664
                     11,                 1.1511,                 1.2499,                 1.3318,                0.73605,                0.81718,                0.90244,                0.78038,                 0.6734,                 1.7062,                0.97766,             0.00019328,             0.00019328,             0.00019328
                     12,                 0.9879,                 1.3089,                 1.2393,                0.75269,                 0.8836,                0.90333,                0.79062,                0.64953,                 1.4773,                0.96852,             0.00019754,             0.00019754,             0.00019754
                     13,                 1.0512,                 1.2144,                 1.2506,                0.83857,                0.91667,                0.92292,                0.82711,                0.57759,                   1.11,                0.94914,             0.00019942,             0.00019942,             0.00019942
                     14,                 1.0275,                 1.1018,                 1.2659,                0.82294,                0.94878,                0.94052,                0.85453,                0.55578,                 1.0035,                0.94614,             0.00019893,             0.00019893,             0.00019893
                     15,                 1.1299,                 1.1442,                 1.3614,                 0.8368,                0.98619,                 0.9575,                0.84549,                0.62537,                 1.0195,                0.96573,             0.00019606,             0.00019606,             0.00019606
                     16,                 1.0737,                 1.2188,                   1.32,                0.90323,                0.94202,                0.97881,                0.78941,                0.70831,                 1.0642,                0.99293,             0.00019082,             0.00019082,             0.00019082
                     17,                0.95352,                 1.1817,                 1.2508,                0.82507,                 0.9358,                0.96572,                0.82955,                0.66568,                0.97518,                 0.9971,              0.0001832,              0.0001832,              0.0001832
                     18,                0.95305,                 1.1341,                  1.261,                0.87773,                0.88326,                0.94964,                0.81685,                0.65422,                 1.0201,                0.99105,              0.0001732,              0.0001732,              0.0001732
                     19,                0.87367,                 0.9683,                 1.1834,                0.86833,                0.88191,                0.95073,                0.82308,                0.62304,                  1.048,                0.96932,             0.00016083,             0.00016083,             0.00016083
                     20,                  0.824,                0.97908,                  1.203,                0.87795,                0.89737,                0.98714,                0.85014,                 0.6015,                0.95867,                0.95661,             0.00014608,             0.00014608,             0.00014608
                     21,                0.92007,                0.96615,                 1.3122,                0.89457,                0.93072,                  0.995,                0.86812,                0.58816,                 0.8231,                0.95357,             0.00012896,             0.00012896,             0.00012896
                     22,                0.88924,                 0.8702,                 1.2397,                 0.9008,                  0.978,                  0.995,                0.85928,                0.60497,                0.75278,                0.96306,             0.00010946,             0.00010946,             0.00010946
                     23,                0.85572,                0.84726,                 1.2131,                0.92917,                0.96703,                  0.995,                0.84793,                0.62745,                0.73317,                0.97136,             8.7584e-05,             8.7584e-05,             8.7584e-05
                     24,                0.76914,                 0.7884,                 1.1147,                 0.9162,                0.98157,                  0.995,                0.85579,                0.62925,                0.70772,                0.97104,             6.3332e-05,             6.3332e-05,             6.3332e-05
                     25,                0.86129,                0.79494,                 1.1541,                0.91669,                0.98253,                  0.995,                0.85002,                0.62319,                0.67717,                0.96705,             3.6704e-05,             3.6704e-05,             3.6704e-05
